pragma omp parallel
i: 0 tid: 3
i: 0 tid: 8
i: 0 tid: 9
i: 0 tid: 1
i: 0 tid: 5
i: 1 tid: 3
i: 2 tid: 3
i: 3 tid: 3
i: 4 tid: 3
i: 5 tid: 3
i: 6 tid: 3
i: 7 tid: 3
i: 8 tid: 3
i: 9 tid: 3
i: 10 tid: 3
i: 11 tid: 3
i: 12 tid: 3
i: 13 tid: 3
i: 14 tid: 3
i: 15 tid: 3
i: 16 tid: 3
i: 17 tid: 3
i: 18 tid: 3
i: 19 tid: 3
i: 1 tid: 1
i: 1 tid: 9
i: 2 tid: 9
i: 2 tid: 1
i: 3 tid: 9
i: 4 tid: 9
i: 0 tid: 2
i: 0 tid: 7
i: 0 tid: 4
i: 1 tid: 7
i: 2 tid: 7
i: 3 tid: 7
i: 1 tid: 4
i: 4 tid: 7
i: 5 tid: 7
i: 6 tid: 7
i: 7 tid: 7
i: 8 tid: 7
i: 9 tid: 7
i: 10 tid: 7
i: 1 tid: 8
i: 11 tid: 7
i: 5 tid: 9
i: 3 tid: 1
i: 2 tid: 4
i: 4 tid: 1
i: 5 tid: 1
i: 1 tid: 0
i: 3 tid: 4
i: 2 tid: 8
i: 0 tid: 2
i: 4 tid: 4
i: 0 tid: 6
i: 12 tid: 7
i: 1 tid: 2
i: 2 tid: 2
i: 3 tid: 2
i: 13 tid: 7
i: 1 tid: 5
i: 4 tid: 2
i: 14 tid: 7
i: 6 tid: 1
i: 15 tid: 7
i: 5 tid: 2
i: 7 tid: 1
i: 8 tid: 1
i: 6 tid: 9
i: 1 tid: 6
i: 7 tid: 9
i: 2 tid: 0
i: 2 tid: 6
i: 8 tid: 9
i: 9 tid: 9
i: 10 tid: 9
i: 2 tid: 5
i: 3 tid: 6
i: 6 tid: 2
i: 4 tid: 6
i: 3 tid: 5
i: 4 tid: 5
i: 5 tid: 5
i: 6 tid: 5
i: 7 tid: 5
i: 5 tid: 4
i: 5 tid: 6
i: 6 tid: 4
i: 7 tid: 4
i: 11 tid: 9
i: 8 tid: 4
i: 6 tid: 6
i: 9 tid: 4
i: 9 tid: 1
i: 12 tid: 9
i: 3 tid: 0
i: 13 tid: 9
i: 16 tid: 7
i: 8 tid: 5
i: 14 tid: 9
i: 15 tid: 9
i: 16 tid: 9
i: 4 tid: 0
i: 17 tid: 7
i: 5 tid: 0
i: 17 tid: 9
i: 6 tid: 0
i: 18 tid: 9
i: 18 tid: 7
i: 19 tid: 7
i: 10 tid: 1
i: 11 tid: 1
i: 12 tid: 1
i: 13 tid: 1
i: 14 tid: 1
i: 19 tid: 9
i: 10 tid: 4
i: 7 tid: 0
i: 15 tid: 1
i: 16 tid: 1
i: 7 tid: 2
i: 17 tid: 1
i: 9 tid: 5
i: 11 tid: 4
i: 7 tid: 6
i: 12 tid: 4
i: 8 tid: 6
i: 9 tid: 6
i: 13 tid: 4
i: 10 tid: 6
i: 14 tid: 4
i: 10 tid: 5
i: 8 tid: 2
i: 3 tid: 8
i: 11 tid: 5
i: 18 tid: 1
i: 12 tid: 5
i: 4 tid: 8
i: 13 tid: 5
i: 9 tid: 2
i: 10 tid: 2
i: 11 tid: 2
i: 19 tid: 1
i: 12 tid: 2
i: 13 tid: 2
i: 14 tid: 2
i: 14 tid: 5
i: 15 tid: 4
i: 15 tid: 5
i: 16 tid: 4
i: 16 tid: 5
i: 15 tid: 2
i: 17 tid: 5
i: 16 tid: 2
i: 17 tid: 2
i: 18 tid: 5
i: 8 tid: 0
i: 18 tid: 2
i: 9 tid: 0
i: 17 tid: 4
i: 19 tid: 2
i: 18 tid: 4
i: 19 tid: 4
i: 19 tid: 5
i: 11 tid: 6
i: 12 tid: 6
i: 13 tid: 6
i: 14 tid: 6
i: 15 tid: 6
i: 16 tid: 6
i: 17 tid: 6
i: 18 tid: 6
i: 19 tid: 6
i: 5 tid: 8
i: 6 tid: 8
i: 7 tid: 8
i: 8 tid: 8
i: 10 tid: 0
i: 11 tid: 0
i: 12 tid: 0
i: 13 tid: 0
i: 14 tid: 0
i: 15 tid: 0
i: 16 tid: 0
i: 17 tid: 0
i: 18 tid: 0
i: 19 tid: 0
i: 9 tid: 8
i: 10 tid: 8
i: 11 tid: 8
i: 12 tid: 8
i: 13 tid: 8
i: 14 tid: 8
i: 15 tid: 8
i: 16 tid: 8
i: 17 tid: 8
i: 18 tid: 8
i: 19 tid: 8

pragma omp parallel for
i: 2 tid: 1
i: 14 tid: 7
i: 4 tid: 2
i: 18 tid: 9
i: 6 tid: 3
i: 3 tid: 1
i: 7 tid: 3
i: 12 tid: 6
i: 8 tid: 4
i: 5 tid: 2
i: 19 tid: 9
i: 13 tid: 6
i: 0 tid: 0
i: 1 tid: 0
i: 10 tid: 5
i: 15 tid: 7
i: 11 tid: 5
i: 16 tid: 8
i: 17 tid: 8
i: 9 tid: 4
